,index,Week Name,Matchup Number,NAME,FGP,FTP,3PM,REB,AST,STL,BLK,TO,PTS,SCORE,WEEK_NUM,Week_WL
96,96,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),1,The Dazzling Lobcity Stars (4-15),0.4679,0.7,38,131,73,23,18,42,379,4-5-0,9,-1
97,97,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),1,Team Orbs (11-8),0.4331,0.7068,21,206,124,28,12,50,445,5-4-0,9,1
98,98,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),2,Old City Irony (11-7-1),0.4667,0.7652,44,197,84,36,16,48,537,8-1-0,9,1
99,99,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),2,Too Easy (10-9),0.4568,0.8621,27,89,79,7,9,50,299,1-8-0,9,-1
100,100,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),3,Players Only Meeting (13-5-1),0.4656,0.8542,54,154,84,24,29,62,433,6-3-0,9,1
101,101,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),3,The Real Power (11-8),0.4716,0.7579,34,144,136,22,17,55,422,3-6-0,9,-1
102,102,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),4,Center City ABDs (7-12),0.4325,0.8387,46,134,99,28,11,40,438,2-7-0,9,-1
103,103,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),4,Da Bulter is in Town (9-9-1),0.4347,0.7521,53,174,105,38,13,61,490,7-2-0,9,1
104,104,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),5,Team Rocket (13-6),0.4672,0.7248,37,200,116,42,24,55,458,7-2-0,9,1
105,105,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),5,Mr Steal  Your Ball (8-9-2),0.45,0.7568,44,145,80,27,17,77,424,2-7-0,9,-1
106,106,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),6,Nerlens Jazz (5-13-1),0.4441,0.8276,32,135,93,25,13,61,414,1-7-1,9,-1
107,107,JaVale Vindicated Scoreboard Matchup 9 (Dec 11 - 17),6,Ithaca is Gorges (9-10),0.4472,0.7041,47,187,111,38,27,61,438,7-1-1,9,1
108,108,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),1,Too Easy (10-9),0.4514,0.7732,63,188,121,38,22,80,528,8-1-0,10,1
109,109,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),1,The Dazzling Lobcity Stars (4-15),0.4098,0.6951,24,155,82,27,13,35,349,1-8-0,10,-1
110,110,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),2,Players Only Meeting (13-5-1),0.4518,0.7778,59,173,89,44,20,58,499,5-4-0,10,1
111,111,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),2,Old City Irony (11-7-1),0.4932,0.8193,45,185,114,25,14,63,473,4-5-0,10,-1
112,112,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),3,The Real Power (11-8),0.4812,0.8095,40,122,111,27,14,60,466,4-5-0,10,-1
113,113,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),3,Center City ABDs (7-12),0.4789,0.875,48,130,106,25,16,43,465,5-4-0,10,1
114,114,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),4,Team Orbs (11-8),0.5442,0.8131,30,199,106,27,20,63,499,5-4-0,10,1
115,115,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),4,Team Rocket (13-6),0.4754,0.7647,45,153,107,26,21,60,484,4-5-0,10,-1
116,116,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),5,Da Bulter is in Town (9-9-1),0.4524,0.8018,55,173,105,30,22,70,486,5-4-0,10,1
117,117,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),5,Nerlens Jazz (5-13-1),0.4678,0.8493,37,152,74,23,19,44,495,4-5-0,10,-1
118,118,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),6,Mr Steal  Your Ball (8-9-2),0.4429,0.7711,22,130,80,30,14,43,334,1-7-1,10,-1
119,119,JaVale Vindicated Scoreboard Matchup 10 (Dec 18 - 24),6,Ithaca is Gorges (9-10),0.4653,0.8194,53,170,103,30,17,71,420,7-1-1,10,1
120,120,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),1,Old City Irony (11-7-1),0.4883,0.775,32,172,81,21,27,61,501,5-4-0,11,1
121,121,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),1,The Dazzling Lobcity Stars (4-15),0.4895,0.6737,44,125,83,15,15,46,434,4-5-0,11,-1
122,122,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),2,Center City ABDs (7-12),0.411,0.8208,59,141,104,24,14,60,474,3-6-0,11,-1
123,123,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),2,Players Only Meeting (13-5-1),0.4748,0.8189,68,171,97,28,35,64,586,6-3-0,11,1
124,124,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),3,Team Rocket (13-6),0.4613,0.7174,43,157,95,21,14,43,431,2-7-0,11,-1
125,125,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),3,Too Easy (10-9),0.4409,0.75,66,208,155,26,24,85,562,7-2-0,11,1
126,126,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),4,Nerlens Jazz (5-13-1),0.4886,0.8841,42,160,103,35,19,58,508,7-2-0,11,1
127,127,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),4,The Real Power (11-8),0.471,0.7816,23,159,104,29,12,47,383,2-7-0,11,-1
128,128,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),5,Ithaca is Gorges (9-10),0.514,0.79,57,218,148,37,35,61,540,7-2-0,11,1
129,129,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),5,Team Orbs (11-8),0.4909,0.8175,31,177,103,22,14,51,512,2-7-0,11,-1
130,130,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),6,Mr Steal  Your Ball (8-9-2),0.4708,0.8267,35,152,85,27,18,32,371,4-4-1,11,0
131,131,JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),6,Da Bulter is in Town (9-9-1),0.4225,0.7955,49,128,91,28,18,40,470,4-4-1,11,0
132,132,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),1,The Dazzling Lobcity Stars (4-15),0.4406,0.7407,30,135,71,29,16,46,342,3-6-0,12,-1
133,133,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),1,Team Rocket (13-6),0.4497,0.7912,39,146,113,23,14,53,415,6-3-0,12,1
134,134,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),2,Center City ABDs (7-12),0.422,0.8898,40,111,89,23,15,67,445,1-8-0,12,-1
135,135,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),2,Old City Irony (11-7-1),0.5062,0.75,41,161,113,32,19,60,531,8-1-0,12,1
136,136,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),3,Players Only Meeting (13-5-1),0.4516,0.8652,57,157,79,29,20,61,470,5-3-1,12,1
137,137,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),3,Nerlens Jazz (5-13-1),0.4887,0.8966,33,135,105,24,20,65,439,3-5-1,12,-1
138,138,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),4,Too Easy (10-9),0.4454,0.6897,40,160,98,22,21,56,402,6-3-0,12,1
139,139,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),4,Ithaca is Gorges (9-10),0.4407,0.8313,25,166,82,25,14,57,354,3-6-0,12,-1
140,140,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),5,The Real Power (11-8),0.5042,0.7982,50,185,101,36,23,58,503,7-2-0,12,1
141,141,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),5,Mr Steal  Your Ball (8-9-2),0.4906,0.8542,30,118,61,27,15,38,331,2-7-0,12,-1
142,142,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),6,Team Orbs (11-8),0.5,0.8333,35,177,114,23,6,56,497,6-3-0,12,1
143,143,JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),6,Da Bulter is in Town (9-9-1),0.4677,0.8776,22,89,46,13,7,18,239,3-6-0,12,-1
144,144,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),1,Ithaca is Gorges (9-10),0.5065,0.7113,38,211,137,41,30,88,499,7-2-0,13,1
145,145,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),1,The Dazzling Lobcity Stars (4-15),0.4759,0.7313,37,126,65,26,6,55,362,2-7-0,13,-1
146,146,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),2,Old City Irony (11-7-1),0.4495,0.8397,32,158,112,35,15,56,498,4-5-0,13,-1
147,147,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),2,Team Rocket (13-6),0.4817,0.713,37,191,90,27,24,53,461,5-4-0,13,1
148,148,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),3,Nerlens Jazz (5-13-1),0.5026,0.819,59,139,98,43,15,65,537,5-4-0,13,1
149,149,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),3,Center City ABDs (7-12),0.4274,0.8241,30,148,89,30,18,61,419,4-5-0,13,-1
150,150,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),4,Mr Steal  Your Ball (8-9-2),0.4653,0.7342,40,174,60,31,24,50,406,4-4-1,13,0
151,151,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),4,Players Only Meeting (13-5-1),0.4394,0.7692,47,148,58,31,26,56,465,4-4-1,13,0
152,152,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),5,Da Bulter is in Town (9-9-1),0.4286,0.8364,29,131,73,25,5,40,303,5-4-0,13,1
153,153,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),5,Too Easy (10-9),0.4196,0.8409,18,127,78,14,16,31,269,4-5-0,13,-1
154,154,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),6,Team Orbs (11-8),0.4357,0.7451,25,173,115,23,14,53,433,2-7-0,13,-1
155,155,JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),6,The Real Power (11-8),0.4605,0.7669,44,183,109,34,20,62,496,7-2-0,13,1
156,156,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),1,The Dazzling Lobcity Stars (4-15),0.4549,0.8219,33,113,80,10,10,42,355,6-2-1,14,1
157,157,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),1,Da Bulter is in Town (9-9-1),0.451,0.8276,28,73,46,22,10,47,260,2-6-1,14,-1
158,158,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),2,Nerlens Jazz (5-13-1),0.4635,0.7565,24,131,96,37,16,51,403,4-4-1,14,0
159,159,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),2,Old City Irony (11-7-1),0.4405,0.7315,43,174,96,20,17,55,470,4-4-1,14,0
160,160,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),3,Team Rocket (13-6),0.491,0.75,48,180,96,34,26,41,513,5-4-0,14,1
161,161,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),3,Ithaca is Gorges (9-10),0.4667,0.8182,44,201,112,37,23,52,465,4-5-0,14,-1
162,162,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),4,Center City ABDs (7-12),0.4665,0.8721,39,148,88,27,21,40,462,4-5-0,14,-1
163,163,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),4,Mr Steal  Your Ball (8-9-2),0.442,0.7595,44,182,79,49,22,55,470,5-4-0,14,1
164,164,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),5,Players Only Meeting (13-5-1),0.4909,0.7891,69,165,78,39,24,49,602,8-1-0,14,1
165,165,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),5,Team Orbs (11-8),0.4506,0.703,21,158,115,29,6,69,384,1-8-0,14,-1
166,166,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),6,Too Easy (10-9),0.4973,0.7596,48,181,113,27,21,81,493,4-5-0,14,-1
167,167,JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21),6,The Real Power (11-8),0.4524,0.7129,36,207,119,30,23,76,460,5-4-0,14,1
168,168,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),1,The Real Power (11-8),0.458,0.8211,39,190,102,32,20,57,478,8-1-0,15,1
169,169,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),1,The Dazzling Lobcity Stars (4-15),0.447,0.7297,27,117,61,20,13,31,351,1-8-0,15,-1
170,170,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),2,Old City Irony (11-7-1),0.4817,0.7937,59,163,103,20,8,51,553,6-3-0,15,1
171,171,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),2,Ithaca is Gorges (9-10),0.465,0.7706,45,244,97,23,34,59,461,3-6-0,15,-1
172,172,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),3,Mr Steal  Your Ball (8-9-2),0.4595,0.8415,49,149,71,35,17,49,436,4-3-2,15,1
173,173,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),3,Nerlens Jazz (5-13-1),0.4735,0.732,36,127,92,35,18,49,375,3-4-2,15,-1
174,174,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),4,Da Bulter is in Town (9-9-1),0.4643,0.7526,47,151,89,31,12,52,406,3-6-0,15,-1
175,175,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),4,Team Rocket (13-6),0.4506,0.7755,45,235,93,34,34,68,533,6-3-0,15,1
176,176,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),5,Team Orbs (11-8),0.4637,0.6585,22,193,125,24,11,69,473,5-4-0,15,1
177,177,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),5,Center City ABDs (7-12),0.4444,0.88,33,150,84,25,1,57,387,4-5-0,15,-1
178,178,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),6,Too Easy (10-9),0.4921,0.75,45,188,120,18,23,64,510,4-5-0,15,-1
179,179,JaVale Vindicated Scoreboard Matchup 15 (Jan 22 - 28),6,Players Only Meeting (13-5-1),0.4222,0.7931,44,175,90,36,31,56,539,5-4-0,15,1
180,180,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),1,The Dazzling Lobcity Stars (4-15),0.4671,0.717,30,115,68,20,16,47,352,1-8-0,16,-1
181,181,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),1,Players Only Meeting (13-5-1),0.47,0.7984,66,184,91,40,40,62,623,8-1-0,16,1
182,182,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),2,Mr Steal  Your Ball (8-9-2),0.4899,0.7671,45,122,75,28,11,40,439,3-6-0,16,-1
183,183,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),2,Old City Irony (11-7-1),0.4856,0.8607,49,179,116,21,17,48,560,6-3-0,16,1
184,184,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),3,Ithaca is Gorges (9-10),0.4789,0.8056,34,206,87,39,20,60,410,3-6-0,16,-1
185,185,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),3,Da Bulter is in Town (9-9-1),0.5054,0.8804,41,214,106,37,16,73,496,6-3-0,16,1
186,186,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),4,Nerlens Jazz (5-13-1),0.4896,0.8347,28,113,90,24,15,43,459,3-6-0,16,-1
187,187,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),4,Team Orbs (11-8),0.4564,0.8571,43,176,156,32,11,73,505,6-3-0,16,1
188,188,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),5,Team Rocket (13-6),0.4799,0.8365,58,182,102,35,22,50,551,5-4-0,16,1
189,189,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),5,The Real Power (11-8),0.4724,0.6932,45,183,116,37,25,70,466,4-5-0,16,-1
190,190,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),6,Center City ABDs (7-12),0.4197,0.8317,34,142,97,25,24,66,416,5-3-1,16,1
191,191,JaVale Vindicated Scoreboard Matchup 16 (Jan 29 - Feb 4),6,Too Easy (10-9),0.4691,0.7976,32,161,91,25,18,60,403,3-5-1,16,-1
